stock,Bearish,Neutral,Bullish,Total_Compound,date,assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed,realtimeEntitled,symbol.1,high52,low52,dividendAmount,dividendYield,dividendDate,peRatio.1,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,quickRatio,currentRatio,interestCoverage,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,epsTTM,epsChangePercentTTM,epsChangeYear,epsChange,revChangeYear,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare,shortIntToFloat,shortIntDayToCover,divGrowthRate3Year,dividendPayAmount,dividendPayDate,beta,vol1DayAvg,vol10DayAvg,vol3MonthAvg
CLNE,0.039,0.833,0.128,0.211,6/5/21,EQUITY,EQUITY,184499101,CLNE,Clean Energy Fuels Corp. - Common Stock,9.5,900,P,9.6,300,Q,9.59,300,Q,10.13,11.2398,9.21, ,9.31,0.28,33219653,1.62E+12,1.62E+12,9.31,q,NASD,TRUE,TRUE,0.0626,4,19.79,2.01,0,0,0,0,,Normal,9.31,3419,0,1.62E+12,3.0075,0,0,0,TRUE,FALSE,,19.79,2.01,0,0, ,,0,3.63307,6.58003,67.39201,35.34669,34.66549,0,0,0,0,0,0,0,2.91098,3.23167,0,14.77244,16.16143,17.63983,0,0,0,0,0,0,2.91497,199917559,145.7305,1861.232,0,0,0,0,0, ,1.83555,10689400,10689398,157733370
WKHS,0.098,0.743,0.159,0.306,6/5/21,EQUITY,EQUITY,98138J206,WKHS,"Workhorse Group, Inc. - Common Stock",13.05,500,P,13.06,1000,Q,13.05,0,P,14.45,14.93,12.51, ,13.05,0,44063876,1.62E+12,1.62E+12,13.05,q,NASD,TRUE,TRUE,0.0636,4,42.96,2.96,0,0,0,0,,Normal,13.05,1276,0,1.62E+12,0,0,0,0,TRUE,FALSE,,42.96,2.96,0,0, ,,0,5.83618,879.3335,0,0,0,0,0,0,0,0,0,0,24.88475,26.63235,0,39.79867,66.10929,66.10929,0,0,0,0,0,1792.098,0,123260319,112.6857,1608.547,0,0,0,0,0, ,2.63508,29627110,29627108,330409340
AAPL,0.075,0.752,0.173,0.115,6/5/21,EQUITY,EQUITY,37833100,AAPL,Apple Inc. - Common Stock,126,100,P,126.01,600,P,126.01,200,P,124.07,126.16,123.85, ,125.89,0.12,75169343,1.62E+12,1.62E+12,125.89,q,NASD,TRUE,TRUE,0.0067,4,145.09,80.195,0,27.7216,0.88,0.7,00:00.0,Normal,125.89,58537,0,1.62E+12,0.0953,0,0,0,TRUE,FALSE,,145.09,80.195,0.88,0.7,00:00.0,,0.710772,30.36571,6.45595,24.08408,39.88126,42.50647,23.45101,26.37748,27.32064,30.70079,103.4003,23.21042,33.53747,1.09269,1.14175,0,63.74756,157.047,175.8435,4.45645,39.744,118.6195,0,0,21.42876,0,16687631000,16676.66,2100806,0,0,0,0,0.22,00:00.0,1.20292,71522500,71522499,1955864920
MVIS,0.028,0.861,0.111,0.282,6/5/21,EQUITY,EQUITY,594960304,MVIS,"MicroVision, Inc. - Common Stock",20.62,1500,P,20.66,400,P,20.66,100,P,18.15,23,18.0201, ,20.25,0.41,50263473,1.62E+12,1.62E+12,20.25,q,NASD,TRUE,TRUE,0.1309,4,28,0.97,0,0,0,0,,Normal,20.25,732,0,1.62E+12,2.0247,0,0,0,TRUE,FALSE,,28,0.97,0,0, ,,0,47.06417,1523.106,0,100.2857,101.0438,0,0,0,0,0,0,0,7.5144,7.5144,0,2.37312,1.36107,2.43081,0,50.71274,0,0,0,0,21.26582,157951717,156.0218,3198.522,0,0,0,0,0, ,3.91424,20281980,20281977,568775640
AMD,0.037,0.787,0.175,0.724,6/5/21,EQUITY,EQUITY,7903107,AMD,"Advanced Micro Devices, Inc. - Common Stock",81.64,300,P,81.67,400,P,81.67,400,P,80.92,82.19,80.81, ,81.58,0.09,26387799,1.62E+12,1.62E+12,81.58,q,NASD,TRUE,TRUE,0.0081,4,99.23,48.42,0,33.17,0,0,,Normal,81.58,11134,0,1.62E+12,0.1103,0,0,0,TRUE,FALSE,,99.23,48.42,0,0, ,,0.072986,15.30333,8.67811,30.83092,44.79075,46.06676,25.17948,16.05225,15.63649,18.80987,60.60542,36.15109,51.99783,1.93575,2.51292,73.11111,4.60972,4.83248,4.83248,2.35575,474.4751,232.4362,0,0,57.65355,6.19605,1215020976,1208.679,99121.41,0,0,0,0,0, ,2.04246,36277440,36277439,930799220
CLOV,0.04,0.816,0.144,0.258,6/6/21,EQUITY,EQUITY,18914F103,CLOV,"Clover Health Investments, Corp.  - Class A Common stock",9.07,900,P,9.12,3900,Q,9.12,100,Q,9.1692,9.48,8.97, ,9,0.12,16049885,1.62E+12,1.62E+12,9,q,NASD,TRUE,TRUE,0.0631,4,17.45,6.31,0,0,0,0,,Normal,9,1182,0,1.62E+12,1.3333,0,0,0,TRUE,FALSE,,17.45,6.31,0,0, ,,0,6.27813,18.33475,0,0,0,0,0,0,0,0,0,0,0,4.67822,0,7.20245,4.15105,7.81325,0,0,0,0,0,0,0,148279247,112.0982,3672.91,0,0,0,0,0, ,0,18091290,18091287,479744190
CLNE,0.039,0.826,0.135,0.226,6/6/21,EQUITY,EQUITY,184499101,CLNE,Clean Energy Fuels Corp. - Common Stock,9.5,900,P,9.6,300,Q,9.59,300,Q,10.13,11.2398,9.21, ,9.31,0.28,33219653,1.62E+12,1.62E+12,9.31,q,NASD,TRUE,TRUE,0.0626,4,19.79,2.01,0,0,0,0,,Normal,9.31,3419,0,1.62E+12,3.0075,0,0,0,TRUE,FALSE,,19.79,2.01,0,0, ,,0,3.63307,6.58003,67.39201,35.34669,34.66549,0,0,0,0,0,0,0,2.91098,3.23167,0,14.77244,16.16143,17.63983,0,0,0,0,0,0,2.91497,199917559,145.7305,1861.232,0,0,0,0,0, ,1.83555,10689400,10689398,157733370
TLRY,0.03,0.885,0.085,0.109,6/6/21,EQUITY,EQUITY,88688T100,TLRY,"Tilray, Inc. - Class 2 Common Stock",18.81,300,P,18.92,100,P,18.92,0,D,20.21,20.47,18.42, ,18.8,0.12,35885836,1.62E+12,1.62E+12,18.8,q,NASD,TRUE,TRUE,0.0333,4,67,4.41,0,0,0,0,,Normal,18.8,3486,0,1.62E+12,0.6383,0,0,0,TRUE,FALSE,,67,4.41,0,0, ,,0,15.55697,40.74874,0,13.22087,28.11895,0,0,0,0,0,0,0,1.6741,2.01405,0,36.36798,47.98892,57.15359,0,39.16053,0,0,0,5.28353,0,447371310,426.0338,8410.581,0,0,0,0,0, ,0,37372480,37372482,515917170
WKHS,0.052,0.845,0.103,0.048,6/6/21,EQUITY,EQUITY,98138J206,WKHS,"Workhorse Group, Inc. - Common Stock",13.05,500,P,13.06,1000,Q,13.05,0,P,14.45,14.93,12.51, ,13.05,0,44063876,1.62E+12,1.62E+12,13.05,q,NASD,TRUE,TRUE,0.0636,4,42.96,2.96,0,0,0,0,,Normal,13.05,1276,0,1.62E+12,0,0,0,0,TRUE,FALSE,,42.96,2.96,0,0, ,,0,5.83618,879.3335,0,0,0,0,0,0,0,0,0,0,24.88475,26.63235,0,39.79867,66.10929,66.10929,0,0,0,0,0,1792.098,0,123260319,112.6857,1608.547,0,0,0,0,0, ,2.63508,29627110,29627108,330409340
AAPL,0.059,0.879,0.062,0.016,6/6/21,EQUITY,EQUITY,37833100,AAPL,Apple Inc. - Common Stock,126,100,P,126.01,600,P,126.01,200,P,124.07,126.16,123.85, ,125.89,0.12,75169343,1.62E+12,1.62E+12,125.89,q,NASD,TRUE,TRUE,0.0067,4,145.09,80.195,0,28.2489,0.88,0.7,00:00.0,Normal,125.89,58537,0,1.62E+12,0.0953,0,0,0,TRUE,FALSE,,145.09,80.195,0.88,0.7,00:00.0,,0.710772,30.36571,6.45595,24.08408,39.88126,42.50647,23.45101,26.37748,27.32064,30.70079,103.4003,23.21042,33.53747,1.09269,1.14175,0,63.74756,157.047,175.8435,4.45645,39.744,118.6195,0,0,21.42876,0,16687631000,16676.66,2100806,0,0,0,0,0.22,00:00.0,1.20292,71522500,71522499,1955864920
