,stock,Bearish,Neutral,Bullish,Total_Compound,date
0,WISH,0.08,0.542,0.378,0.456,2021-06-23
1,WKHS,0.042,0.802,0.156,0.21,2021-06-23
2,CLOV,0.048,0.789,0.162,0.254,2021-06-23
3,CLNE,0.058,0.858,0.085,0.104,2021-06-23
4,TSLA,0.068,0.798,0.134,0.17,2021-06-23
5,AAPL,0.019,0.865,0.115,0.514,2021-06-23
6,AMD,0.022,0.802,0.176,0.505,2021-06-23
7,NVDA,0.014,0.872,0.114,0.188,2021-06-23
8,ASO,0.108,0.79,0.101,0.015,2021-06-23
9,TLRY,0.06,0.84,0.1,0.057,2021-06-23
