,stock,Bearish,Neutral,Bullish,Total_Compound,date
0,CLOV,0.09,0.742,0.169,0.159,2021-08-13
1,SOFI,0.134,0.675,0.191,0.145,2021-08-13
2,WISH,0.084,0.573,0.342,0.398,2021-08-13
3,AMD,0.044,0.79,0.167,0.227,2021-08-13
4,AAPL,0.083,0.675,0.242,0.235,2021-08-13
5,MRNA,0.056,0.827,0.116,0.145,2021-08-13
6,AMZN,0.037,0.874,0.089,0.166,2021-08-13
7,TSLA,0.07,0.744,0.185,0.239,2021-08-13
8,UPST,0.122,0.723,0.155,0.112,2021-08-13
9,MU,0.178,0.554,0.268,0.125,2021-08-13
